,Avg_FT_DPRRA,Avg_FT_RRA,,,l2Norm_DPRRA,l2Norm_RRA,,,Avg_CS_DPRRA,Avg_CS_RRA,,,Avg_TP_DPRRA,Avg_TP_RRA,,,Avg_TQ_DPRRA,Avg_TQ_RRA
4830,53.2787,9.55921,,4830,4516.94,759.418,,4830,1.57971,1.49876,,4830,0.0187692,0.104611,,4830,1479.49,487
4855,60.1541,9.54253,,4855,7556.07,746.75,,4855,1.60371,1.51576,,4855,0.016624,0.104794,,4855,1490.41,476
4880,53.2176,9.56373,,4880,4114.79,754.316,,4880,1.60697,1.51086,,4880,0.0187908,0.104562,,4880,1463.9,483
4905,58.452,8.43466,,4905,5244.72,667.423,,4905,1.62528,1.50499,,4905,0.0171081,0.118558,,4905,1506.24,487
4930,61.9063,9.29757,,4930,5913.46,748.05,,4930,1.62535,1.5073,,4930,0.0161534,0.107555,,4930,1591.33,489
4955,53.9378,9.45732,,4955,5475.94,746.92,,4955,1.57094,1.49929,,4955,0.0185399,0.105738,,4955,1492.17,500
4980,53.4695,9.20884,,4980,4122.87,732.15,,4980,1.60984,1.5,,4980,0.0187023,0.108591,,4980,1566.62,508
5005,51.1473,9.03377,,5005,3952.57,724.785,,5005,1.59201,1.4993,,5005,0.0195514,0.110696,,5005,1536.38,500
5030,53.9203,9.19503,,5030,4168.85,726.769,,5030,1.62863,1.4998,,5030,0.0185459,0.108754,,5030,1581.64,514
5055,52.507,8.23739,,5055,4066.77,668.72,,5055,1.60712,1.50326,,5055,0.0190451,0.121398,,5055,1573.32,503
5080,59.6311,8.49882,,5080,4700.48,682.649,,5080,1.63287,1.5,,5080,0.0167698,0.117663,,5080,1585.19,511
5105,60.5933,8.00548,,5105,4976.1,641.554,,5105,1.62214,1.49951,,5105,0.0165035,0.124914,,5105,1641.08,514
5130,60.4749,8.76569,,5130,5201.45,710.739,,5130,1.61832,1.51676,,5130,0.0165358,0.114081,,5130,1631.51,503
